Gene,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
NA4,12.41899146,7.435149585,3.261578821,19.93036137,7.273773256,7.055225336,17.68349188,17.09683532,13.76116324,5.021718149,3.684826644,3.276343715,2.61695965,3.448677757,2.663658983,3.598112681,3.358507923,3.150031311,4.526280886,4.718495574
NA5,74.65835566,50.34215865,88.54227211,91.70479123,66.15440577,63.94478675,93.17069463,80.24171772,87.70600304,93.69468862,45.79288595,37.51135897,30.59490468,40.06170778,48.41481574,25.3188296,37.48290959,34.25383698,39.23502133,41.50630119
NA7,6.570512925,5.537637452,54.55150459,12.98850186,6.647554367,3.763593618,2.531416449,11.26593717,3.326090285,12.98378442,10.25213865,5.719718688,10.35022244,7.415953673,6.79045459,15.9439305,8.555615074,7.511613126,7.007030986,5.925552582
NA20,70.6390309,98.96106648,6.459205116,11.57500105,87.36556355,191.2050777,19.9417339,45.53450008,16.20219946,8.655856283,11.38135971,38.59421833,30.91834913,37.96138524,8.910126879,40.60255594,29.0498678,15.77218474,7.333445473,44.00271454
NA22,0.697966575,0,0,0,4.752840803,1.29486983,2.622474595,0,2.198360102,0,0,1.610406233,10.79128305,3.707976837,0,2.459260502,5.123563182,2.290931862,0,0.137165569
NA23,13.45390742,6.815553786,38.49942059,1.429206371,27.13615188,2.42031744,21.67183866,9.864381832,7.1375328,30.55979795,7.978838337,7.274593671,3.631399065,5.523070393,15.90692125,3.10295956,5.295165776,4.295497242,11.90324829,5.514055875
NA28,14.03153493,24.29977273,32.4559069,25.92988702,14.38697757,17.6804189,12.36569618,19.77155925,42.3683947,48.5322629,28.48311563,25.35001535,20.788657,24.37411347,33.0893975,20.66439026,19.51366647,18.30542671,40.714767,25.10129913
NA29,0.120339065,0.116174212,0.095928789,1.130800645,0.385365471,0.411453965,0.983427973,1.016395091,0.099925459,0.56163953,2.615038263,0.499781245,1.396691948,1.581724385,2.119672289,0.69321437,1.985687166,1.762255279,1.262136016,2.386680901
A1BG,2.575255982,9.700546725,25.99670178,3.156818468,3.66097197,1.258565069,4.206886329,11.55480735,4.553745926,3.072498604,7.221071568,1.027328114,5.086899096,1.374285121,5.439866937,4.968036316,2.672097545,4.097243523,6.093070423,0.850426528
A2LD1,1.588475652,5.014853496,2.142409618,3.219640726,10.56543665,11.89586022,8.15880985,3.391549936,1.898583725,11.95961822,5.586672653,8.246390536,3.528484922,7.649322845,5.57117407,4.637934236,5.957061498,3.854933422,3.764647083,5.678654557
